17,3,2.843
18,1,2.017
18,2,1.996
18,3,2.012
19,1,6.110
19,2,5.332
19,3,5.352
20,1,0.052
20,2,0.026
20,3,0.048
21,1,6.121
21,2,1.359
21,3,1.307
22,1,3.425
22,2,1.284
22,3,1.259
23,1,4.586
23,2,2.161
23,3,2.202
24,1,22.212
24,2,4.629
24,3,4.660
25,1,0.454
25,2,0.395
25,3,0.406
26,1,0.357
26,2,0.376
26,3,0.352
27,1,0.447
27,2,0.400
27,3,0.402
28,1,2.668
28,2,1.089
28,3,1.064
29,1,14.472
29,2,13.917
29,3,13.851
30,1,2.396
30,2,2.385
30,3,2.410
31,1,0.815
31,2,0.695
31,3,0.697
32,1,1.278
32,2,0.925
32,3,0.930
33,1,4.444
33,2,4.333
33,3,4.299
34,1,4.257
34,2,3.992
34,3,4.044
35,1,4.419
35,2,4.131
35,3,3.934
36,1,1.045
36,2,1.017
36,3,0.991
37,1,0.150
37,2,0.082
37,3,0.075
38,1,0.043
38,2,0.041
38,3,0.034
39,1,0.080
39,2,0.033
39,3,0.033
40,1,0.219
40,2,0.155
40,3,0.153
41,1,0.164
41,2,0.023
41,3,0.020
42,1,0.087
42,2,0.020
42,3,0.014
43,1,0.025
43,2,0.016
43,3,0.015
1,1,0.001
1,2,0.001
1,3,0.001
2,1,0.502
2,2,0.018
2,3,0.015
3,1,0.577
3,2,0.038
3,3,0.039
4,1,0.774
4,2,0.051
4,3,0.054
5,1,1.704
5,2,1.677
5,3,1.672
6,1,2.408
6,2,1.547
6,3,1.600
7,1,0.428
7,2,0.029
7,3,0.028
8,1,0.039
8,2,0.019
8,3,0.022
9,1,1.097
9,2,0.588
9,3,0.597
10,1,0.711
10,2,0.682
10,3,0.659
11,1,0.653
11,2,0.221
11,3,0.219
12,1,0.641
12,2,0.232
12,3,0.256
13,1,1.080
13,2,1.090
13,3,1.080
14,1,1.360
14,2,1.379
14,3,1.325
15,1,1.449
15,2,1.240
15,3,1.243
16,1,0.714
16,2,0.659
16,3,0.656
17,1,3.024
17,2,2.695
17,3,2.933
18,1,2.045
18,2,2.001
18,3,2.009
19,1,6.038
19,2,5.421
19,3,5.347
20,1,0.083
20,2,0.058
20,3,0.027
21,1,7.212
21,2,1.358
21,3,1.299
22,1,6.810
22,2,1.199
22,3,1.356
23,1,7.303
23,2,2.175
23,3,2.184
24,1,29.784
24,2,4.581
24,3,4.651
25,1,0.917
25,2,0.438
25,3,0.396
26,1,0.380
26,2,0.359
26,3,0.356
27,1,0.849
27,2,0.402
27,3,0.408
28,1,5.581
28,2,1.085
28,3,1.077
29,1,14.544
29,2,13.985
29,3,13.973
30,1,2.406
30,2,2.390
30,3,2.425
31,1,1.128
31,2,0.701
31,3,0.671
32,1,2.492
32,2,0.939
32,3,0.939
33,1,4.437
33,2,4.360
33,3,4.281
34,1,7.174
34,2,3.977
34,3,3.977
35,1,7.041
35,2,4.001
35,3,3.977
36,1,1.079
36,2,0.991
36,3,1.020
37,1,0.193
37,2,0.075
37,3,0.074
38,1,0.059
38,2,0.034
38,3,0.034
39,1,0.106
39,2,0.037
39,3,0.035
40,1,0.253
40,2,0.150
40,3,0.147
41,1,0.186
41,2,0.022
41,3,0.022
42,1,0.097
42,2,0.015
42,3,0.025
43,1,0.074
43,2,0.014
43,3,0.014
1,1,0.003
1,2,0.001
1,3,0.001
2,1,0.541
2,2,0.098
2,3,0.115
3,1,0.586
3,2,0.193
3,3,0.172
4,1,0.712
4,2,0.532
4,3,0.446
5,1,1.776
5,2,1.807
5,3,1.816
6,1,2.061
6,2,1.715
6,3,1.718
7,1,0.687
7,2,0.108
7,3,0.105
8,1,0.123
8,2,0.113
8,3,0.122
9,1,1.190
9,2,0.809
9,3,0.775
10,1,0.904
10,2,0.862
10,3,0.991
11,1,0.781
11,2,0.540
11,3,0.566
12,1,0.709
12,2,0.515
12,3,0.520
13,1,1.385
13,2,1.378
13,3,1.377
14,1,1.523
14,2,1.550
14,3,1.529
15,1,1.551
15,2,1.519
15,3,1.534
16,1,0.812
16,2,0.763
16,3,0.774
17,1,3.056
17,2,3.055
17,3,3.056
18,1,2.161
18,2,2.143
18,3,2.135
19,1,6.831
19,2,5.685
19,3,5.524
20,1,0.297
20,2,0.298
20,3,0.293
21,1,6.959
21,2,5.716
21,3,5.624
22,1,5.716
22,2,5.711
22,3,5.708
23,1,5.991
23,2,6.079
23,3,6.211
24,1,32.119
24,2,12.262
24,3,12.779
25,1,1.201
25,2,1.189
25,3,1.188
26,1,1.193
26,2,1.189
26,3,1.189
27,1,1.192
27,2,1.187
27,3,1.186
28,1,5.627
28,2,5.622
28,3,5.621
29,1,14.685
29,2,14.370
29,3,14.353
30,1,2.499
30,2,2.478
30,3,2.474
31,1,1.309
31,2,1.309
31,3,2.321
32,1,1.472
32,2,1.746
32,3,1.618
33,1,4.820
33,2,4.795
33,3,4.853
34,1,6.886
34,2,6.976
34,3,6.928
35,1,6.880
35,2,6.891
35,3,6.890
36,1,1.210
36,2,1.159
36,3,1.206
37,1,0.253
37,2,0.186
37,3,0.199
38,1,0.167
38,2,0.178
38,3,0.169
39,1,0.217
39,2,0.170
39,3,0.168
40,1,0.306
40,2,0.274
40,3,0.298
41,1,0.306
41,2,0.139
41,3,0.139
42,1,0.157
42,2,0.156
42,3,0.184
43,1,0.143
43,2,0.138
43,3,0.113
1,1,0.002
1,2,0.001
1,3,0.001
2,1,0.300
2,2,0.015
2,3,0.017
3,1,0.411
3,2,0.037
3,3,0.036
4,1,0.606
4,2,0.051
4,3,0.053
5,1,1.715
5,2,1.693
5,3,1.638
6,1,1.895
6,2,1.630
6,3,1.606
7,1,0.296
7,2,0.024
7,3,0.043
8,1,0.041
8,2,0.025
8,3,0.023
9,1,0.926
9,2,0.585
9,3,0.589
10,1,0.707
10,2,0.658
10,3,0.698
11,1,0.759
11,2,0.211
11,3,0.211
12,1,0.628
12,2,0.242
12,3,0.245
13,1,1.092
13,2,1.089
13,3,1.093
14,1,1.689
14,2,1.353
14,3,1.361
15,1,1.330
15,2,1.200
15,3,1.236
16,1,0.720
16,2,0.665
16,3,0.671
17,1,2.985
17,2,2.986
17,3,3.003
18,1,1.984
18,2,2.072
18,3,2.059
19,1,5.906
19,2,5.403
19,3,5.435
20,1,0.116
20,2,0.025
20,3,0.021
21,1,5.706
21,2,1.318
21,3,1.300
22,1,10.418
22,2,1.220
22,3,1.207
23,1,10.711
23,2,2.154
23,3,2.158
24,1,39.115
24,2,4.717
24,3,4.762
25,1,1.830
25,2,0.408
25,3,0.419
26,1,0.391
26,2,0.352
26,3,0.352
27,1,1.838
27,2,0.407
27,3,0.407
28,1,8.683
28,2,1.125
28,3,1.057
29,1,14.656
29,2,13.959
29,3,13.847
30,1,2.432
30,2,2.391
30,3,2.418
31,1,1.464
31,2,0.685
31,3,0.661
32,1,3.952
32,2,0.942
32,3,0.920
33,1,5.298
33,2,4.312
33,3,4.292
34,1,10.351
34,2,3.955
34,3,4.060
35,1,10.237
35,2,3.949
35,3,3.970
36,1,1.129
36,2,0.999
36,3,0.991
37,1,0.152
37,2,0.098
37,3,0.078
38,1,0.072
38,2,0.033
38,3,0.040
39,1,0.098
39,2,0.030
39,3,0.030
40,1,0.223
40,2,0.149
40,3,0.156
41,1,0.129
41,2,0.021
41,3,0.019
42,1,0.074
42,2,0.015
42,3,0.015
43,1,0.048
43,2,0.017
43,3,0.016
1,1,0.002
1,2,0.001
1,3,0.002
2,1,0.420
2,2,0.016
2,3,0.015
3,1,0.375
3,2,0.036
3,3,0.041
4,1,0.570
4,2,0.053
4,3,0.053
5,1,1.703
5,2,1.687
5,3,1.647
6,1,1.887
6,2,1.597
6,3,1.579
7,1,0.288
7,2,0.031
7,3,0.027
8,1,0.034
8,2,0.019
8,3,0.022
9,1,0.989
9,2,0.608
9,3,0.585
10,1,0.728
10,2,0.681
10,3,0.672
11,1,0.575
11,2,0.215
11,3,0.209
12,1,0.531
12,2,0.251
12,3,0.241
13,1,1.123
13,2,1.087
13,3,1.038
14,1,1.379
14,2,1.343
14,3,1.370
15,1,1.303
15,2,1.243
15,3,1.228
16,1,0.713
16,2,0.666
16,3,0.651
17,1,2.957
17,2,2.932
17,3,2.892
18,1,2.091
18,2,2.037
18,3,1.944
19,1,6.090
19,2,5.363
19,3,5.257
20,1,0.086
20,2,0.041
20,3,0.028
21,1,5.799
21,2,1.283
21,3,1.360
22,1,6.792
22,2,1.268
22,3,1.232
23,1,7.029
23,2,2.194
23,3,2.166
24,1,26.268
